antecedent,consequent,support,confidence,lift,count
"DO_bor=Queens, PU_bor=Manhattan",DO=LaGuardia Airport,0.0134,0.38,25.37,5317
"DO_bor=Manhattan, PU_bor=Queens, rush=yes",PU=LaGuardia Airport,0.0058,0.463,18.25,2313
"DO_bor=Manhattan, PU_bor=Queens",PU=LaGuardia Airport,0.0179,0.436,17.2,7116
"DO=LaGuardia Airport, PU_bor=Manhattan",DO_bor=Queens,0.0134,1.0,16.84,5317
"DO=JFK Airport, PU_bor=Manhattan",DO_bor=Queens,0.0084,1.0,16.84,3325
DO=JFK Airport,DO_bor=Queens,0.0102,1.0,16.84,4074
DO=LaGuardia Airport,DO_bor=Queens,0.015,1.0,16.84,5965
"DO_bor=Brooklyn, PU_bor=Queens",PU=JFK Airport,0.008,0.621,15.94,3180
"DO_bor=Queens, PU_bor=Queens",PU=JFK Airport,0.0126,0.579,14.87,5036
"PU_bor=Queens, rush=yes",PU=LaGuardia Airport,0.0081,0.375,14.8,3207
"PU_bor=Queens, weekend=yes",PU=JFK Airport,0.0095,0.517,13.28,3765
PU_bor=Queens,PU=LaGuardia Airport,0.0253,0.323,12.75,10090
PU=JFK Airport,PU_bor=Queens,0.039,1.0,12.75,15509
PU=LaGuardia Airport,PU_bor=Queens,0.0253,1.0,12.75,10090
"DO_bor=Manhattan, PU=JFK Airport",PU_bor=Queens,0.0169,1.0,12.75,6747
"PU=JFK Airport, rush=yes",PU_bor=Queens,0.01,1.0,12.75,3972
"DO_bor=Brooklyn, PU=JFK Airport",PU_bor=Queens,0.008,1.0,12.75,3180
"PU=JFK Airport, weekend=yes",PU_bor=Queens,0.0095,1.0,12.75,3765
"DO_bor=Manhattan, PU=LaGuardia Airport",PU_bor=Queens,0.0179,1.0,12.75,7116
"DO_bor=Manhattan, PU=LaGuardia Airport, rush=yes",PU_bor=Queens,0.0058,1.0,12.75,2313
"PU=LaGuardia Airport, weekend=yes",PU_bor=Queens,0.0054,1.0,12.75,2149
"PU=LaGuardia Airport, rush=yes",PU_bor=Queens,0.0081,1.0,12.75,3207
"DO_bor=Queens, PU=JFK Airport",PU_bor=Queens,0.0126,1.0,12.75,5036
PU_bor=Queens,PU=JFK Airport,0.039,0.497,12.75,15509
"DO_bor=Manhattan, PU=JFK Airport, rush=yes",PU_bor=Queens,0.005,1.0,12.75,1996
"PU_bor=Queens, rush=yes",PU=JFK Airport,0.01,0.465,11.93,3972
PU_bor=Brooklyn,DO_bor=Brooklyn,0.0062,0.473,11.35,2469
"DO_bor=Manhattan, PU_bor=Queens",PU=JFK Airport,0.0169,0.413,10.61,6747
"DO_bor=Manhattan, PU_bor=Queens, rush=yes",PU=JFK Airport,0.005,0.399,10.25,1996
"PU=JFK Airport, PU_bor=Queens",DO_bor=Queens,0.0126,0.325,5.47,5036
PU=JFK Airport,DO_bor=Queens,0.0126,0.325,5.47,5036
"DO_bor=Queens, rush=yes",PU_bor=Queens,0.0051,0.415,5.29,2029
"PU_bor=Queens, weekend=yes",DO_bor=Queens,0.0056,0.306,5.16,2229
DO_bor=Queens,PU_bor=Queens,0.0218,0.368,4.69,8694
"DO_bor=Queens, weekend=yes",PU_bor=Queens,0.0056,0.344,4.39,2229
DO_bor=Brooklyn,PU_bor=Queens,0.0129,0.308,3.93,5122
"DO_bor=Manhattan, PU=Lower East Side, PU_bor=Manhattan",weekend=yes,0.0108,0.67,2.32,4302
"DO_bor=Manhattan, PU=Lower East Side",weekend=yes,0.0108,0.67,2.32,4302
PU=Lower East Side,weekend=yes,0.012,0.654,2.26,4793
"PU=Lower East Side, PU_bor=Manhattan",weekend=yes,0.012,0.654,2.26,4793
"DO_bor=Manhattan, PU=Greenwich Village South, PU_bor=Manhattan",weekend=yes,0.0103,0.582,2.01,4087
"DO_bor=Manhattan, PU=Greenwich Village South",weekend=yes,0.0103,0.582,2.01,4087
"PU=Greenwich Village South, PU_bor=Manhattan",weekend=yes,0.011,0.575,1.99,4378
PU=Greenwich Village South,weekend=yes,0.011,0.575,1.99,4378
"DO_bor=Manhattan, PU=Little Italy/NoLiTa",weekend=yes,0.0061,0.567,1.96,2445
"DO_bor=Manhattan, PU=Little Italy/NoLiTa, PU_bor=Manhattan",weekend=yes,0.0061,0.567,1.96,2445
PU=Little Italy/NoLiTa,weekend=yes,0.0067,0.563,1.95,2658
"PU=Little Italy/NoLiTa, PU_bor=Manhattan",weekend=yes,0.0067,0.563,1.95,2658
"DO_bor=Manhattan, PU=East Village, PU_bor=Manhattan",weekend=yes,0.0169,0.548,1.89,6728
"DO_bor=Manhattan, PU=East Village",weekend=yes,0.0169,0.548,1.89,6728
PU=East Village,weekend=yes,0.0183,0.542,1.87,7278
"PU=East Village, PU_bor=Manhattan",weekend=yes,0.0183,0.542,1.87,7278
"DO_bor=Manhattan, PU=West Village",weekend=yes,0.013,0.483,1.67,5179
PU=West Village,weekend=yes,0.014,0.482,1.67,5562
"PU=West Village, PU_bor=Manhattan",weekend=yes,0.014,0.482,1.67,5562
"DO_bor=Manhattan, PU=West Village, PU_bor=Manhattan",weekend=yes,0.013,0.483,1.67,5179
"DO=East Village, PU_bor=Manhattan",weekend=yes,0.0103,0.48,1.66,4121
"DO=East Village, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0103,0.48,1.66,4121
"DO=East Village, DO_bor=Manhattan",weekend=yes,0.0107,0.467,1.62,4249
DO=East Village,weekend=yes,0.0107,0.467,1.62,4249
"DO=West Village, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0074,0.434,1.5,2934
"DO=West Village, PU_bor=Manhattan",weekend=yes,0.0074,0.434,1.5,2934
DO=West Village,weekend=yes,0.0075,0.429,1.48,2982
"DO=West Village, DO_bor=Manhattan",weekend=yes,0.0075,0.429,1.48,2982
"DO_bor=Manhattan, PU=Yorkville East",rush=yes,0.0059,0.425,1.45,2365
"DO_bor=Manhattan, PU=Yorkville East, PU_bor=Manhattan",rush=yes,0.0059,0.425,1.45,2365
"DO_bor=Manhattan, PU=Upper East Side North, PU_bor=Manhattan",rush=yes,0.0163,0.418,1.43,6481
"DO_bor=Manhattan, PU=Upper East Side North",rush=yes,0.0163,0.418,1.43,6481
"PU=Yorkville East, PU_bor=Manhattan",rush=yes,0.0062,0.413,1.41,2453
PU=Yorkville East,rush=yes,0.0062,0.413,1.41,2453
PU=Upper East Side North,rush=yes,0.0166,0.414,1.41,6626
"PU=Upper East Side North, PU_bor=Manhattan",rush=yes,0.0166,0.414,1.41,6626
"DO_bor=Manhattan, PU=Lenox Hill East, PU_bor=Manhattan",rush=yes,0.0078,0.41,1.4,3094
"DO_bor=Manhattan, PU=Lenox Hill East",rush=yes,0.0078,0.41,1.4,3094
"DO=Flatiron, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0059,0.401,1.39,2353
"DO=Flatiron, PU_bor=Manhattan",weekend=yes,0.0059,0.401,1.39,2353
PU=Lenox Hill East,rush=yes,0.0081,0.401,1.37,3221
"PU=Lenox Hill East, PU_bor=Manhattan",rush=yes,0.0081,0.401,1.37,3221
"DO_bor=Manhattan, PU=Upper West Side North",rush=yes,0.0077,0.403,1.37,3059
"DO_bor=Manhattan, PU=Upper West Side North, PU_bor=Manhattan",rush=yes,0.0077,0.403,1.37,3059
"DO=Midtown Center, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0142,0.4,1.36,5665
"DO=Midtown Center, PU_bor=Manhattan",rush=yes,0.0142,0.4,1.36,5665
"DO=Midtown Center, DO_bor=Manhattan",rush=yes,0.0149,0.395,1.35,5945
"DO=Flatiron, DO_bor=Manhattan",weekend=yes,0.0061,0.391,1.35,2440
PU=Upper West Side North,rush=yes,0.0079,0.396,1.35,3131
DO=Midtown Center,rush=yes,0.0149,0.395,1.35,5945
DO=Flatiron,weekend=yes,0.0061,0.391,1.35,2440
"PU=Upper West Side North, PU_bor=Manhattan",rush=yes,0.0079,0.396,1.35,3131
"PU=West Chelsea/Hudson Yards, PU_bor=Manhattan",weekend=yes,0.007,0.386,1.34,2773
PU=West Chelsea/Hudson Yards,weekend=yes,0.007,0.386,1.34,2773
"DO_bor=Manhattan, PU=West Chelsea/Hudson Yards",weekend=yes,0.0066,0.386,1.33,2619
"DO_bor=Manhattan, PU=West Chelsea/Hudson Yards, PU_bor=Manhattan",weekend=yes,0.0066,0.386,1.33,2619
"DO_bor=Manhattan, PU=Midtown East",rush=yes,0.0118,0.382,1.3,4690
"DO_bor=Manhattan, PU=Midtown East, PU_bor=Manhattan",rush=yes,0.0118,0.382,1.3,4690
"DO=Midtown East, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0102,0.379,1.29,4068
"DO=Midtown East, PU_bor=Manhattan",rush=yes,0.0102,0.379,1.29,4068
"DO=Midtown East, DO_bor=Manhattan",rush=yes,0.0108,0.376,1.28,4309
DO=Midtown East,rush=yes,0.0108,0.376,1.28,4309
"DO_bor=Manhattan, PU=Upper East Side South, PU_bor=Manhattan",rush=yes,0.0147,0.372,1.27,5836
"DO_bor=Manhattan, PU=Upper West Side South, PU_bor=Manhattan",rush=yes,0.0098,0.371,1.27,3903
"DO_bor=Manhattan, PU=Upper East Side South",rush=yes,0.0147,0.372,1.27,5836
"DO_bor=Manhattan, PU=Upper West Side South",rush=yes,0.0098,0.371,1.27,3903
"DO=Gramercy, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0072,0.364,1.26,2870
PU=Midtown East,rush=yes,0.0124,0.37,1.26,4918
"PU=Midtown East, PU_bor=Manhattan",rush=yes,0.0124,0.37,1.26,4918
"PU=Greenwich Village North, PU_bor=Manhattan",weekend=yes,0.0051,0.364,1.26,2016
"DO=Gramercy, PU_bor=Manhattan",weekend=yes,0.0072,0.364,1.26,2870
PU=Greenwich Village North,weekend=yes,0.0051,0.364,1.26,2016
"PU=Upper East Side South, PU_bor=Manhattan",rush=yes,0.015,0.368,1.25,5990
PU=Upper East Side South,rush=yes,0.015,0.368,1.25,5990
"DO=Upper East Side South, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0134,0.366,1.25,5340
"PU=Upper West Side South, PU_bor=Manhattan",rush=yes,0.01,0.367,1.25,3983
PU=Upper West Side South,rush=yes,0.01,0.367,1.25,3983
"DO=Upper East Side South, PU_bor=Manhattan",rush=yes,0.0134,0.366,1.25,5340
"DO=Upper East Side South, DO_bor=Manhattan",rush=yes,0.0137,0.365,1.25,5474
DO=Upper East Side South,rush=yes,0.0137,0.365,1.25,5474
"DO_bor=Manhattan, PU=Midtown Center, PU_bor=Manhattan",rush=yes,0.0134,0.363,1.24,5337
"DO_bor=Manhattan, PU=Midtown Center",rush=yes,0.0134,0.363,1.24,5337
"DO=Upper East Side North, DO_bor=Manhattan",rush=yes,0.0149,0.363,1.24,5924
"DO=Clinton East, PU_bor=Manhattan",weekend=yes,0.0086,0.359,1.24,3428
"DO=Clinton East, DO_bor=Manhattan, PU_bor=Manhattan",weekend=yes,0.0086,0.359,1.24,3428
